filename	bjd	rv	rvc	logS
HARPS.2008-03-03T08:59:15.908	2454528.8755099997	-22.3196171494	0.0005537821180787716	-1.39951106316
HARPS.2008-03-03T08:59:57.861	2454528.876	-22.3184795731	0.0016916117378187323	-1.3994051570700001
HARPS.2008-03-03T09:00:39.803	2454528.87648	-22.3189268485	0.0012445673058181228	-1.3986842994
HARPS.2008-03-03T09:01:21.345	2454528.87697	-22.3197132587	0.0004584029749779006	-1.40031290171
HARPS.2008-03-04T08:01:38.513	2454529.83557	-22.3195620448	0.0010793238275468298	-1.3979935895200002
HARPS.2008-03-04T08:02:20.835	2454529.83605	-22.321568717199998	-0.0009271027032902168	-1.3981678009
HARPS.2008-03-04T08:03:02.947	2454529.83654	-22.319730839400002	0.0009109911635434287	-1.3966146606299998
HARPS.2008-03-04T08:03:44.370	2454529.83703	-22.3197438994	0.0008981844832867125	-1.39753905569
HARPS.2008-03-04T08:04:28.172	2454529.83753	-22.3196655383	0.0009767840018639617	-1.39676063795
HARPS.2008-03-04T08:05:11.905	2454529.8380299998	-22.3202603694	0.0003821987710246333	-1.39750558588
HARPS.2008-03-04T08:05:53.766	2454529.83852	-22.3229818256	-0.002339011559815418	-1.39613916939
HARPS.2008-03-04T08:06:35.829	2454529.839	-22.3201980698	0.00044499010934373473	-1.39733528871
HARPS.2008-03-04T08:07:18.491	2454529.8395	-22.3209861228	-0.00034283192265860407	-1.3983221630899998
HARPS.2008-03-04T08:08:00.373	2454529.8399900002	-22.3199599393	0.0006835899959227731	-1.39540693824
HARPS.2008-03-23T07:38:53.744	2454548.8211	-22.329695623000003	0.0002555441066256492	-1.40080366884
HARPS.2008-03-23T07:40:36.779	2454548.8223	-22.329039321	0.0009124272519152044	-1.40072816181
HARPS.2008-03-23T07:41:28.782	2454548.8229	-22.328880726799998	0.0010713269257216496	-1.39991282521
HARPS.2008-03-23T07:42:21.175	2454548.82348	-22.329399670999997	0.0005526658477847946	-1.40070301414
HARPS.2008-03-23T07:43:08.227	2454548.82402	-22.3306363654	-0.000683760331316563	-1.40105349909
HARPS.2008-03-23T07:43:55.199	2454548.82457	-22.3297028904	0.00024996053784320793	-1.40151204778
HARPS.2008-03-23T07:44:41.892	2454548.8251099996	-22.3291340394	0.000819094659906483	-1.40063028761
HARPS.2008-03-23T07:45:28.765	2454548.82565	-22.329254052	0.0006993353796467261	-1.40056321468
HARPS.2008-03-23T07:46:15.197	2454548.82619	-22.3293361111	0.0006175594017072683	-1.4023991360199999
HARPS.2008-03-23T07:47:02.190	2454548.82673	-22.3303218106	-0.0003678793279711101	-1.4012966844299999
HARPS.2008-03-23T07:47:49.182	2454548.8272700002	-22.3299361125	1.810189409212626e-05	-1.40143214009
HARPS.2008-03-23T07:48:36.094	2454548.8278200002	-22.3293159529	0.0006385073632522165	-1.4004362208399999
HARPS.2008-03-23T07:49:22.787	2454548.8283599997	-22.3291222302	0.0008324833829931322	-1.40069915442
HARPS.2008-03-23T07:50:10.159	2454548.8289099997	-22.329167819899997	0.0007871917062196587	-1.4005254200600001
HARPS.2008-03-24T06:16:43.495	2454549.7640400003	-22.3280972422	0.002316658115763204	-1.40451626374
HARPS.2008-03-24T06:17:25.777	2454549.76453	-22.3298348089	0.00057932983434128	-1.40422689718
HARPS.2008-03-24T06:18:08.169	2454549.76503	-22.3302952917	0.00011909290349976231	-1.4031382818
HARPS.2008-03-24T06:18:50.191	2454549.76551	-22.3296349957	0.0007796347726589659	-1.40466191555
HARPS.2008-03-24T06:19:32.164	2454549.766	-22.328686872600002	0.0017279888406562804	-1.401265105
HARPS.2008-03-24T06:20:14.086	2454549.7664900003	-22.328395463400003	0.0020196588109762104	-1.40068189493
HARPS.2008-03-24T06:21:38.230	2454549.76746	-22.328810995	0.00160457424581395	-1.40511701648
HARPS.2008-03-24T06:22:20.143	2454549.76795	-22.3290000536	0.0014157466138122743	-1.4011906524200002
HARPS.2008-03-24T06:23:02.264	2454549.7684299997	-22.327903133200003	0.0025129128829703973	-1.405339996
HARPS.2008-03-24T06:23:44.157	2454549.76892	-22.327885679899996	0.0025306120521371156	-1.4020586544799998
HARPS.2008-03-24T06:24:26.779	2454549.7694	-22.3303850335	3.1504321292175064e-05	-1.40445034743
HARPS.2008-03-24T06:25:08.782	2454549.76989	-22.3301240996	0.0002926840904535766	-1.4026332103999999
HARPS.2008-03-24T06:25:51.174	2454549.77039	-22.3304707956	-5.378094154906421e-05	-1.4034795276899998
HARPS.2008-03-25T07:20:07.403	2454550.8081400003	-22.331135781700002	-0.0002094602531066414	-1.40084300199
HARPS.2008-03-25T07:20:49.125	2454550.8086200003	-22.330614681500002	0.0003118932666339447	-1.40310439236
HARPS.2008-03-25T07:21:30.017	2454550.8091	-22.3317464044	-0.0008196135665272664	-1.40214648692
HARPS.2008-03-25T07:22:11.749	2454550.80957	-22.330409611500002	0.0005174028508889705	-1.4042026271599999
HARPS.2008-03-25T07:22:53.752	2454550.81006	-22.3331278219	-0.002200554229368379	-1.40235908426
HARPS.2008-03-25T07:23:35.754	2454550.81054	-22.3308779608	4.954528921174983e-05	-1.40222900829
HARPS.2008-03-25T07:24:18.167	2454550.81104	-22.3317793775	-0.00085164789337	-1.40393013533
HARPS.2008-03-25T07:25:00.139	2454550.81153	-22.3305487073	0.0003792830769491218	-1.40186544644
HARPS.2008-03-25T07:25:42.131	2454550.81201	-22.331190397399997	-0.0002621686044683713	-1.40078905259
HARPS.2008-03-25T07:26:24.124	2454550.8125	-22.3325683963	-0.0016399439870546928	-1.4005744679499998
HARPS.2008-03-25T07:27:05.766	2454550.81297	-22.3330695298	-0.002140846519054662	-1.40117324855
HARPS.2008-03-25T07:27:46.738	2454550.81345	-22.3321132453	-0.001184323600476489	-1.40395084681
HARPS.2008-03-25T07:28:28.440	2454550.8139400003	-22.3328705725	-0.0019413974807349632	-1.39998206366
HARPS.2008-03-25T07:29:53.155	2454550.8149200003	-22.3302808045	0.0006488324552620384	-1.4019438741699999
HARPS.2008-03-26T08:23:46.854	2454551.85243	-22.3311443376	0.00029453163789838754	-1.40254871473
HARPS.2008-03-26T08:25:20.120	2454551.85351	-22.3296505573	0.0017888483797037225	-1.39919615917
HARPS.2008-03-26T08:26:05.822	2454551.85404	-22.3309384521	0.0005012143500238153	-1.39797336514
HARPS.2008-03-26T08:26:52.754	2454551.85459	-22.330711811799997	0.0007281228709281606	-1.3989437933500002
HARPS.2008-03-26T08:28:27.170	2454551.85568	-22.3293790851	0.0020613860127269845	-1.39820716649
HARPS.2008-03-26T08:29:12.752	2454551.85621	-22.3306507807	0.0007899288313062414	-1.3994943287700001
HARPS.2008-03-26T08:30:00.274	2454551.85675	-22.330334458000003	0.0011065197522057701	-1.3993176735799997
HARPS.2008-03-27T08:08:09.270	2454552.84164	-22.3305830436	0.0013413948765617079	-1.40070091986
HARPS.2008-03-27T08:08:56.242	2454552.84218	-22.3314565841	0.0004680927951419278	-1.40018201035
HARPS.2008-03-27T08:09:42.134	2454552.84271	-22.331653710500003	0.00027122716545946446	-1.4004424974599998
HARPS.2008-03-27T08:10:28.747	2454552.84326	-22.3303699398	0.0015552735369439574	-1.39967612034
HARPS.2008-03-27T08:11:15.129	2454552.8437900003	-22.3313003001	0.0006251665566843201	-1.39818642359
HARPS.2008-03-27T08:12:02.141	2454552.8443299998	-22.331429554	0.0004961957787479321	-1.3993477566499999
HARPS.2008-03-27T08:12:48.754	2454552.8448799998	-22.331412668400002	0.0005133272479049822	-1.39906367477
HARPS.2008-03-27T08:13:35.577	2454552.84542	-22.331332629499997	0.0005936567205537813	-1.39805573158
HARPS.2008-03-27T08:15:09.851	2454552.84651	-22.3315642517	0.0003625709623520379	-1.39831092937
HARPS.2008-03-28T06:04:46.859	2454553.75602	-22.332610113	-0.00023683664711882102	-1.39935780307
HARPS.2008-03-28T06:05:33.381	2454553.75655	-22.3324638293	-9.030707795787407e-05	-1.3985111118
HARPS.2008-03-28T06:06:20.124	2454553.7571	-22.3332042755	-0.0008304776064775865	-1.39827794385
HARPS.2008-03-28T06:07:07.147	2454553.75764	-22.332340871	3.319511442612111e-05	-1.3974934185699999
HARPS.2008-03-28T06:07:53.739	2454553.75818	-22.3328063878	-0.0004320534646744534	-1.39702232234
HARPS.2008-03-28T06:09:27.174	2454553.7592599997	-22.3337276473	-0.0013527914240327732	-1.3987874395
HARPS.2008-03-28T06:10:14.167	2454553.7598	-22.3328586158	-0.00048347680196769716	-1.39823874698
HARPS.2008-03-28T06:11:01.119	2454553.76035	-22.3340471979	-0.0016717906810654881	-1.39774663658
HARPS.2008-03-28T06:11:47.741	2454553.76089	-22.3324319104	-5.623496016582408e-05	-1.3998843500799998
HARPS.2008-03-29T06:54:33.093	2454554.79062	-22.331733548899997	0.0011476260815967976	-1.39822443234
HARPS.2008-03-29T06:55:15.275	2454554.7911	-22.3329312434	-4.9822549247124925e-05	-1.39826926432
HARPS.2008-03-29T06:55:57.217	2454554.79159	-22.331992803400002	0.0008888409681695464	-1.39974069718
HARPS.2008-03-29T06:56:39.160	2454554.79207	-22.332295710300002	0.0005861575855874435	-1.3995494785
HARPS.2008-03-29T06:57:20.802	2454554.79255	-22.332493429	0.00038869965591104005	-1.3988368834799998
HARPS.2008-03-29T06:58:02.755	2454554.7930400004	-22.331763746700002	0.0011186129239071363	-1.39881525895
HARPS.2008-03-29T06:58:45.246	2454554.79353	-22.332139004499997	0.0007435935424915385	-1.39812409388
HARPS.2008-03-29T06:59:27.199	2454554.79402	-22.3337137274	-0.0008308909389320718	-1.39886634646
